order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
28,4,X21,9,,,,,,,3,1,,4,,There is an interphone on number 3.,X21_9_1.jpg,X21_9_2.jpg,N
29,1,8,4,2,2,ambiguous,tongs,rulers,16,6,3,,1,below,The tongs below the rulers are on number 6.,E08_4_1.jpg,E08_4_2.jpg,
29,2,8,1,1,1,unambiguous,tongs,ruler,16,6,3,,1,below,The tongs below the ruler are on number 6.,E08_1_1.jpg,E08_1_2.jpg,
29,3,8,2,1,2,ambiguous,tongs,rulers,16,6,3,,1,below,The tongs below the rulers are on number 6.,E08_2_1.jpg,E08_2_2.jpg,
29,4,8,3,2,1,unambiguous,tongs,ruler,16,6,3,,1,below,The tongs below the ruler are on number 6.,E08_3_1.jpg,E08_3_2.jpg,
30,1,X79,9,,,,,,,5,,,3,,The envelope is on number 5.,X79_9_1.jpg,X79_9_2.jpg,N
30,2,X79,9,,,,,,,5,,,3,,The envelope is on number 5.,X79_9_1.jpg,X79_9_2.jpg,N
30,3,X79,9,,,,,,,5,,,3,,The envelope is on number 5.,X79_9_1.jpg,X79_9_2.jpg,N
30,4,X79,9,,,,,,,5,,,3,,The envelope is on number 5.,X79_9_1.jpg,X79_9_2.jpg,N
31,1,9,3,2,1,unambiguous,earphones,bottle,12,6,3,,5,below,The earphones below the bottle are on number 6.,E09_3_1.jpg,E09_3_2.jpg,Y
31,2,9,4,2,2,ambiguous,earphones,bottles,12,6,3,,5,below,The earphones below the bottles are on number 6.,E09_4_1.jpg,E09_4_2.jpg,Y
31,3,9,1,1,1,unambiguous,earphones,bottle,12,6,3,,5,below,The earphones below the bottle are on number 6.,E09_1_1.jpg,E09_1_2.jpg,Y
31,4,9,2,1,2,ambiguous,earphones,bottles,12,6,3,,5,below,The earphones below the bottles are on number 6.,E09_2_1.jpg,E09_2_2.jpg,Y
32,1,X25,9,,,,,,,5,,,1,,On number 5 there is a phone.,X25_9_1.jpg,X25_9_2.jpg,N
32,2,X25,9,,,,,,,5,,,1,,On number 5 there is a phone.,X25_9_1.jpg,X25_9_2.jpg,N
32,3,X25,9,,,,,,,5,,,1,,On number 5 there is a phone.,X25_9_1.jpg,X25_9_2.jpg,N
32,4,X25,9,,,,,,,5,,,1,,On number 5 there is a phone.,X25_9_1.jpg,X25_9_2.jpg,N
33,1,X05,9,,,,,,,1,6,5,2,below,The lion and the slide are on the row below the drums.,X05_9_1.jpg,X05_9_2.jpg,N
33,2,X05,9,,,,,,,1,6,5,2,below,The lion and the slide are on the row below the drums.,X05_9_1.jpg,X05_9_2.jpg,N
33,3,X05,9,,,,,,,1,6,5,2,below,The lion and the slide are on the row below the drums.,X05_9_1.jpg,X05_9_2.jpg,N
33,4,X05,9,,,,,,,1,6,5,2,below,The lion and the slide are on the row below the drums.,X05_9_1.jpg,X05_9_2.jpg,N
34,1,10,4,2,2,ambiguous,scissors,socks,1,5,4,,1,next to,The scissors next to the socks are on number 5.,E10_4_1.jpg,E10_4_2.jpg,Y
34,2,10,1,1,1,unambiguous,scissors,sock,1,5,4,,1,next to,The scissors next to the sock are on number 5.,E10_1_1.jpg,E10_1_2.jpg,Y
34,3,10,2,1,2,ambiguous,scissors,socks,1,5,4,,1,next to,The scissors next to the socks are on number 5.,E10_2_1.jpg,E10_2_2.jpg,Y
34,4,10,3,2,1,unambiguous,scissors,sock,1,5,4,,1,next to,The scissors next to the sock are on number 5.,E10_3_1.jpg,E10_3_2.jpg,Y
35,1,X56,9,,,,,,,3,6,,4,,"The pilot is below the carrot, and he is on number 6.",X56_9_1.jpg,X56_9_2.jpg,N
35,2,X56,9,,,,,,,3,6,,4,,"The pilot is below the carrot, and he is on number 6.",X56_9_1.jpg,X56_9_2.jpg,N
35,3,X56,9,,,,,,,3,6,,4,,"The pilot is below the carrot, and he is on number 6.",X56_9_1.jpg,X56_9_2.jpg,N
35,4,X56,9,,,,,,,3,6,,4,,"The pilot is below the carrot, and he is on number 6.",X56_9_1.jpg,X56_9_2.jpg,N
36,1,X72,9,,,,,,,6,5,,2,next to,The kennel is next to the rooster and it is on number 6.,X72_9_1.jpg,X72_9_2.jpg,N
36,2,X72,9,,,,,,,6,5,,2,next to,The kennel is next to the rooster and it is on number 6.,X72_9_1.jpg,X72_9_2.jpg,N
36,3,X72,9,,,,,,,6,5,,2,next to,The kennel is next to the rooster and it is on number 6.,X72_9_1.jpg,X72_9_2.jpg,N
36,4,X72,9,,,,,,,6,5,,2,next to,The kennel is next to the rooster and it is on number 6.,X72_9_1.jpg,X72_9_2.jpg,N
37,1,11,2,1,2,ambiguous,sunglasses,microphones,8,6,3,,5,below,The sunglasses below the microphones are on number 6.,E11_2_1.jpg,E11_2_2.jpg,Y
37,2,11,3,2,1,unambiguous,sunglasses,microphone,8,6,3,,5,below,The sunglasses below the microphone are on number 6.,E11_3_1.jpg,E11_3_2.jpg,Y
37,3,11,4,2,2,ambiguous,sunglasses,microphones,8,6,3,,5,below,The sunglasses below the microphones are on number 6.,E11_4_1.jpg,E11_4_2.jpg,Y
37,4,11,1,1,1,unambiguous,sunglasses,microphone,8,6,3,,5,below,The sunglasses below the microphone are on number 6.,E11_1_1.jpg,E11_1_2.jpg,Y
38,1,X20,9,,,,,,,5,6,,1,next to,The diamond is next to the heart.,X20_9_1.jpg,X20_9_2.jpg,N
38,2,X20,9,,,,,,,5,6,,1,next to,The diamond is next to the heart.,X20_9_1.jpg,X20_9_2.jpg,N
38,3,X20,9,,,,,,,5,6,,1,next to,The diamond is next to the heart.,X20_9_1.jpg,X20_9_2.jpg,N
38,4,X20,9,,,,,,,5,6,,1,next to,The diamond is next to the heart.,X20_9_1.jpg,X20_9_2.jpg,N
39,1,X59,9,,,,,,,6,3,,1,above,"The musician is on number 3, and he is above the scarf.",X59_9_1.jpg,X59_9_2.jpg,N
39,2,X59,9,,,,,,,6,3,,1,above,"The musician is on number 4, and he is above the scarf.",X59_9_1.jpg,X59_9_2.jpg,N
39,3,X59,9,,,,,,,6,3,,1,above,"The musician is on number 5, and he is above the scarf.",X59_9_1.jpg,X59_9_2.jpg,N
39,4,X59,9,,,,,,,6,3,,1,above,"The musician is on number 6, and he is above the scarf.",X59_9_1.jpg,X59_9_2.jpg,N
40,1,12,1,1,1,unambiguous,jeans,comb,11,6,3,,2,below,The jeans below the comb are on number 6.,E12_1_1.jpg,E12_1_2.jpg,Y
40,2,12,2,1,2,ambiguous,jeans,combs,11,6,3,,2,below,The jeans below the combs are on number 6.,E12_2_1.jpg,E12_2_2.jpg,Y
40,3,12,3,2,1,unambiguous,jeans,comb,11,6,3,,2,below,The jeans below the comb are on number 6.,E12_3_1.jpg,E12_3_2.jpg,Y
40,4,12,4,2,2,ambiguous,jeans,combs,11,6,3,,2,below,The jeans below the combs are on number 6.,E12_4_1.jpg,E12_4_2.jpg,Y
41,1,X06,9,,,,,,,2,4,6,1,above,"The bath tub is on number 2, on the row above the biscuit and the bouncer.",X06_9_1.jpg,X06_9_2.jpg,N
41,2,X06,9,,,,,,,2,4,6,1,above,"The bath tub is on number 2, on the row above the biscuit and the bouncer.",X06_9_1.jpg,X06_9_2.jpg,N
